cve_id,severity_label,severity_numeric,kasan,lock,write,read,fixprintf,remote,danger,bpf,nullptr,disk,init,warnonly,outofbounds,deadlock,trace,usb,nomemchk,virt,simplefix,netfilter,nvme,race,leak,errorpath,uaf,networking,notincludedcomponent,skb,dma,logger,improve,kernel_panic_plus_uaf,timer,spectre,hardware,servertoclientfail,tipc,debugfs,linus,cveoutdated,boot,test,qdisc,ipv6,iouring,syzbot,kernel_panic,memory
CVE-2020-36776,MODERATE,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
CVE-2020-36777,MODERATE,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
CVE-2020-36779,IMPORTANT,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
CVE-2020-36782,LOW,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
CVE-2020-36783,LOW,2,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
